,username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
66,ClausDZMoeller,,"Hvis ikke Coronavirus tingen - meget snart bliver inddæmmet = indenfor 45 dage! Bliver #EURO2020 AFLYST! Tankevækkende at der er så få tilfælde af Covid-19 i - Østeuropa... Og #EURO2020 skal afholdes i 12 byer - heriblandt Baku, Skt. Petersburg, Budapest, Bukarest...",0,0,1,1233287853997805571,https://twitter.com/ClausDZMoeller/status/1233287853997805571,467452551,2020-02-28 07:08:32+00:00,Fri Feb 28 07:08:32 +0000 2020,#EURO2020 #EURO2020,,,
67,Dejligedays,,Will you be the vicar or the squire? Has Britain become too selfish to cope with coronavirus? | Coronavirus outbreak | The Guardian ,0,0,0,1233287585675513857,https://twitter.com/Dejligedays/status/1233287585675513857,2969872763,2020-02-28 07:07:28+00:00,Fri Feb 28 07:07:28 +0000 2020,,,,https://www.theguardian.com/commentisfree/2020/feb/28/coronovirus-test-wellbeing-herd-vaccination
68,Heeger,,"Star Economist Roubini on the Economic Effects of Coronavirus: ""This Crisis Will Spill Over and Result in a Disaster"" https://www.spiegel.de/international/business/nouriel-roubini-on-coronavirus-this-crisis-will-spill-over-and-result-in-a-disaster-a-e811cf3b-d495-4c52-bf79-d872c8f164ac via @derspiegel",1,3,0,1233287033528967168,https://twitter.com/Heeger/status/1233287033528967168,25831306,2020-02-28 07:05:16+00:00,Fri Feb 28 07:05:16 +0000 2020,,@derspiegel,,https://www.spiegel.de/international/business/nouriel-roubini-on-coronavirus-this-crisis-will-spill-over-and-result-in-a-disaster-a-e811cf3b-d495-4c52-bf79-d872c8f164ac
69,Dejligedays,,Coronavirus: The everyday precautions you can take to stay safe in France (or anywhere) - The Local ,1,1,0,1233286082135023616,https://twitter.com/Dejligedays/status/1233286082135023616,2969872763,2020-02-28 07:01:29+00:00,Fri Feb 28 07:01:29 +0000 2020,,,,https://www.thelocal.fr/20200227/coronavirus-the-everyday-precautions-you-can-take-to-stay-safe-in-france
70,ks_pedersen,,"Coronaudbruddet dækkes massivt af medierne verden over, og den voldsomme og kontinuerlige eksponering er med til at skabe unødig frygt. #coronavirus ",0,0,0,1233283226472472581,https://twitter.com/ks_pedersen/status/1233283226472472581,268419531,2020-02-28 06:50:09+00:00,Fri Feb 28 06:50:09 +0000 2020,#coronavirus,,,https://www.berlingske.dk/kommentatorer/laege-den-voldsomme-mediedaekning-slaar-coronafrygten-ud-af
71,DonBananMike,,"Coronavirus er selvfølgelig seriøs, og ikke noget man ønsker. Men som far til tre på tre år og under, lyder to ugers isolation ganske tiltalende",0,0,0,1233281604618985473,https://twitter.com/DonBananMike/status/1233281604618985473,2978335185,2020-02-28 06:43:42+00:00,Fri Feb 28 06:43:42 +0000 2020,,,,
72,politiken,,Professor om alvorlige fejl i håndtering af coronavirus: »Det er Italiens problem. Men det er også resten af Europas problem nu« ,0,0,0,1233280454410850309,https://twitter.com/politiken/status/1233280454410850309,14930764,2020-02-28 06:39:08+00:00,Fri Feb 28 06:39:08 +0000 2020,,,,https://politiken.dk/udland/art7678791/%C2%BBDet-er-Italiens-problem.-Men-det-er-ogs%C3%A5-resten-af-Europas-problem-nu%C2%AB
73,asbjoernwilliam,,TANKEEKSPERIMENT Hvad nu hvis verdens lande lige så intensivt bekæmpede klimaforandringerne som de lige nu bekæmper #coronavirus #COVID19 ? #dkgreen #ClimateEmergency,9,24,8,1233280178438180866,https://twitter.com/asbjoernwilliam/status/1233280178438180866,1344921379,2020-02-28 06:38:02+00:00,Fri Feb 28 06:38:02 +0000 2020,#coronavirus #COVID19 #dkgreen #ClimateEmergency,,,
74,_halefa_,erinbiba,"""Specifically, if 60% rather than 20% of air travelers maintained clean hands, it could slow down the spread of infections by almost 70%, according to the researchers."" #coronavirus #COVID19",2,5,0,1233280170523529218,https://twitter.com/_halefa_/status/1233280170523529218,429785395,2020-02-28 06:38:00+00:00,Fri Feb 28 06:38:00 +0000 2020,#coronavirus #COVID19,,,https://twitter.com/erinbiba/status/1233102259602558977
75,johnjhardy,,"U.S. Health Workers Responding to Coronavirus Lacked Training and Protective Gear, Whistle-Blower Says ",0,2,0,1233275827640578048,https://twitter.com/johnjhardy/status/1233275827640578048,214419100,2020-02-28 06:20:45+00:00,Fri Feb 28 06:20:45 +0000 2020,,,,https://nyti.ms/2T6fGon
